,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
0,Alturas,KAAT,-120.5615,41.48362,4383.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
349,Placerville Airport,KPVF,-120.7533,38.7242,2585.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:35:00, 
51,Ukiah Municipal Airport,KUKI,-123.20011,39.12783,597.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
50,"South Lake Tahoe, Lake Tahoe Airport",KTVL,-119.99615,38.89836,6257.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
49,Truckee-Tahoe,KTRK,-120.13333,39.31667,5899.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:45:00, 
48,Fairfield / Travis Air Force Base,KSUU,-121.95,38.26667,62.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 18:58:00, 
47,"Santa Rosa, Santa Rosa Sonoma County Airport",KSTS,-122.81667,38.5,125.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
53,"Visalia, Visalia Municipal Airport",KVIS,-119.4,36.31667,295.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
46,San Carlos Airport,KSQL,-122.25,37.51667,3.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 18:50:00, 
44,Sacramento International Airport,KSMF,-121.59479,38.70071,20.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
43,"San Jose, San Jose International Airport",KSJC,-121.92417,37.35917,59.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
42,Montague Siskiyou County Airport,KSIY,-122.46817,41.77375,2644.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
41,"San Francisco, San Francisco International Airport",KSFO,-122.36558,37.61961,10.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
40,"Stockton, Stockton Metropolitan Airport",KSCK,-121.22361,37.88972,30.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
39,"San Luis Obispo, San Luis Obispo County-Mc Chesney Field",KSBP,-120.63611,35.23611,207.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
45,"Salinas, Salinas Municipal Airport",KSNS,-121.60806,36.66361,82.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-20 19:40:00, 
