,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
0,Alturas,KAAT,-120.5615,41.48362,4383,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
349,Placerville Airport,KPVF,-120.7533,38.7242,2585,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:35, 
51,Ukiah Municipal Airport,KUKI,-123.20011,39.12783,597,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
50,"South Lake Tahoe, Lake Tahoe Airport",KTVL,-119.99615,38.89836,6257,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
49,Truckee-Tahoe,KTRK,-120.13333,39.31667,5899,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:45, 
48,Fairfield / Travis Air Force Base,KSUU,-121.95,38.26667,62,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 18:58, 
47,"Santa Rosa, Santa Rosa Sonoma County Airport",KSTS,-122.81667,38.5,125,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
53,"Visalia, Visalia Municipal Airport",KVIS,-119.4,36.31667,295,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
46,San Carlos Airport,KSQL,-122.25,37.51667,3,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 18:50, 
44,Sacramento International Airport,KSMF,-121.59479,38.70071,20,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
43,"San Jose, San Jose International Airport",KSJC,-121.92417,37.35917,59,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
42,Montague Siskiyou County Airport,KSIY,-122.46817,41.77375,2644,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
41,"San Francisco, San Francisco International Airport",KSFO,-122.36558,37.61961,10,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
40,"Stockton, Stockton Metropolitan Airport",KSCK,-121.22361,37.88972,30,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
39,"San Luis Obispo, San Luis Obispo County-Mc Chesney Field",KSBP,-120.63611,35.23611,207,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
45,"Salinas, Salinas Municipal Airport",KSNS,-121.60806,36.66361,82,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
309,"Watsonville, Watsonville Municipal Airport",KWVI,-121.78889,36.93944,161,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:40, 
310,Auburn Municipal Airport,KAUN,-121.08636,38.95535,1486,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:35, 
311,Hawthorne Municipal Airport,KHTH,-118.63137,38.54482,4230,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:35, 
346,University Airport,KEDU,-121.7865,38.5315,68,10,1,America/Los_Angeles,1/1/1970 0:00,10/20/2017 19:35, 
