,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
0,"Napa, Napa County Airport",KAPC,-122.27944,38.2075,33.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
43,Novato / Gnoss Field,KDVO,-122.55463,38.14178,3.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 17:55:00, 
46,Petaluma Municipal Airport,KO69,-122.6053,38.2578,89.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 17:55:00, 
10,Vacaville Nut Tree Airport,KVCB,-121.95853,38.37755,105.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
8,Fairfield / Travis Air Force Base,KSUU,-121.95,38.26667,62.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 17:58:00, 
7,"Santa Rosa, Santa Rosa Sonoma County Airport",KSTS,-122.81667,38.5,125.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
9,Ukiah Municipal Airport,KUKI,-123.20011,39.12783,597.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
5,"Oakland, Metro Oakland International Airport",KOAK,-122.23294,37.7178,3.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
4,"Livermore, Livermore Municipal Airport",KLVK,-121.81444,37.69278,397.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
3,"Hayward, Hayward Air Terminal",KHWD,-122.11833,37.66083,46.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
2,Chico Municipal Airport,KCIC,-121.85795,39.79879,236.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 17:50:00, 
1,"Concord, Buchanan Field",KCCR,-122.05194,37.99167,23.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
6,"San Francisco, San Francisco International Airport",KSFO,-122.36558,37.61961,10.0,10.0,1,America/Los_Angeles,1970-01-01 00:00:00,2017-10-12 18:05:00, 
37,BIG ROCK,NBRC1,-122.57,38.039444,1500.0,6.1,2,America/Los_Angeles,2003-09-30 00:00:00,2017-10-12 17:33:00, 
32,MNF02 PORTABLE,TR164,-122.9397,39.308283,3740.0,6.1,2,America/Los_Angeles,2002-01-14 00:00:00,2017-10-12 17:53:00, 
33,SAC NWR,NWRC1,-122.1825,39.417222,120.0,6.1,2,America/Los_Angeles,2001-07-26 00:00:00,2017-10-12 17:29:00, 
34,STONYFORD,SYWC1,-122.572894,39.367294,1263.0,6.1,2,America/Los_Angeles,2001-06-26 00:00:00,2017-10-12 17:26:00, 
35,LAYTONVILLE,LAYC1,-123.484906,39.702328,1820.0,6.1,2,America/Los_Angeles,2001-07-12 00:00:00,2017-10-12 17:29:00, 
36,WOODACRE,WDAC1,-122.644722,37.990556,1400.0,6.1,2,America/Los_Angeles,2003-05-24 00:00:00,2017-10-12 17:51:00, 
38,MIDDLE PEAK,MDEC1,-122.587222,37.927778,2339.0,6.1,2,America/Los_Angeles,2004-05-17 00:00:00,2017-10-12 17:36:00, 
44,ATLAS PEAK,ATLC1,-122.2648,38.474847,1934.0,6.1,2,America/Los_Angeles,2011-01-20 00:00:00,2017-10-12 17:29:00, 
40,MNF03 PORTABLE,TS378,-122.671267,39.35925,2220.0,6.1,2,America/Los_Angeles,2005-07-27 00:00:00,2017-10-12 17:28:00, 
41,ARB1 PORTABLE,TS392,-122.682339,38.815719,3580.0,6.1,2,America/Los_Angeles,2005-02-25 00:00:00,2017-10-12 17:53:00, 
42,SAC NWR QD,NWQC1,-122.183889,39.446111,95.0,6.1,2,America/Los_Angeles,2005-07-12 00:00:00,2017-10-12 17:52:00, 
31,MNF01 PORTABLE,TR163,-122.645383,39.231683,2880.0,6.1,2,America/Los_Angeles,2001-08-21 00:00:00,2017-10-12 17:53:00, 
45,LIVERMORE FIRE DEPARTMENT,TT060,-121.823056,37.656111,440.0,6.1,2,America/Los_Angeles,2011-08-15 00:00:00,2017-10-12 17:30:00, 
47,LAKE COUNTY RAWS1,LKRC1,-122.740511,38.80645,4724.0,6.1,2,America/Los_Angeles,2013-08-09 00:00:00,2017-10-12 18:05:00, 
39,OLEMA VALLEY,OVYC1,-122.795833,38.0425,37.0,6.1,2,America/Los_Angeles,2005-05-23 00:00:00,2017-10-12 17:13:00, 
30,MCGUIRES,MCGC1,-123.601575,39.352617,627.0,6.1,2,America/Los_Angeles,2001-12-11 00:00:00,2017-10-12 17:50:00, 
24,OAKLAND SOUTH,OKSC1,-122.144722,37.786111,1095.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:33:00, 
28,HOPLAND UC,HPDC1,-123.080556,39.030833,2682.0,6.1,2,America/Los_Angeles,2001-04-03 00:00:00,2017-10-12 17:15:00, 
11,ALDER SPRINGS,ECKC1,-122.724533,39.651617,4543.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:24:00, 
12,BARNABY,BBEC1,-122.702222,38.028056,810.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:11:00, 
13,BLACK DIAMOND,PIBC1,-121.884444,37.95,1600.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:28:00, 
14,BOONVILLE,BNVC1,-123.348464,38.987356,644.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:50:00, 
15,BRIONES,PLEC1,-122.117778,37.934167,1450.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:28:00, 
16,BROOKS,BKSC1,-122.144686,38.738364,354.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:59:00, 
17,COUNTY LINE,WISC1,-122.411694,39.018833,2085.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:36:00, 
18,HAWKEYE,HWKC1,-122.837058,38.735086,2024.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:56:00, 
19,HIGH GLADE LOOKOUT,HGLC1,-122.809989,39.208897,4807.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:36:00, 
20,KNOXVILLE CREEK,KNXC1,-122.417222,38.861944,2200.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 18:09:00, 
21,LAS TRAMPAS,LTRC1,-122.066944,37.833889,1760.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:28:00, 
22,LYONS VALLEY,COWC1,-123.073333,39.125833,3355.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 18:01:00, 
23,OAKLAND NORTH,ONOC1,-122.220833,37.865,1403.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:33:00, 
48,NOVATO FIRE - ROBINHOOD,NVHC1,-122.549806,38.1125,482.0,6.1,2,America/Los_Angeles,2016-01-21 20:14:00,2017-10-12 17:31:00, 
25,SANTA ROSA,RSAC1,-122.711797,38.478483,599.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:29:00, 
26,SODA CREEK,SOAC1,-122.977222,39.425,1725.0,6.1,2,America/Los_Angeles,1999-12-02 00:00:00,2017-10-12 17:21:00, 
27,RODEO VALLEY,RDVC1,-123.321292,39.667958,2428.0,6.1,2,America/Los_Angeles,2001-04-03 00:00:00,2017-10-12 17:28:00, 
29,KONOCTI,KELC1,-122.706314,38.911889,2163.0,6.1,2,America/Los_Angeles,2001-12-11 00:00:00,2017-10-12 17:57:00, 
49,OAK RIDGE,OAAC1,-123.308389,38.738056,1890.0,6.1,2,America/Los_Angeles,2016-09-01 23:36:00,2017-07-10 15:33:00, 
